"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2007","SEA","88","74","4.77","618","162","6","4","43","74","15","1434.1","6313","1578","813","760","147","546","39","62","59","10","1020"
"2007","CHW","72","90","4.77","625","162","9","4","42","73","23","1440.2","6293","1556","839","764","174","499","50","59","45","0","1015"
"2001","CIN","66","96","4.78","623","162","2","1","35","","","1442.2","6324","1572","850","766","198","515","46","48","53","4","943"
"2017","CHW","67","95","4.78","682","162","0","0","25","55","15","1421.2","6200","1384","820","755","242","632","36","68","67","5","1193"
"2012","CLE","68","94","4.79","656","162","2","1","43","81","13","1442.0","6283","1503","845","767","174","543","27","55","67","6","1086"
"2000","PHI","65","97","4.79","575","162","8","3","34","","","1438.2","6314","1458","830","766","201","640","32","42","54","3","1123"
"2019","TOR","67","95","4.79","753","162","1","0","33","72","10","1440.1","6313","1450","828","767","228","604","25","69","70","6","1332"
"2013","HOU","51","111","4.79","610","162","2","1","32","70","29","1440.0","6370","1530","848","767","191","616","32","56","61","6","1084"
"2002","TOR","78","84","4.81","623","162","6","2","41","69","29","1438.1","6338","1504","828","768","177","590","56","71","57","4","991"
"2010","ARI","65","97","4.81","616","162","3","1","35","48","24","1432.0","6260","1503","836","765","210","548","38","58","82","4","1070"
"2017","MIA","77","85","4.82","742","162","1","1","34","98","26","1442.2","6318","1450","822","772","193","627","59","75","57","3","1202"
"2004","CLE","80","82","4.82","641","162","8","3","32","55","28","1466.2","6450","1553","857","785","201","579","47","62","43","6","1115"
"2004","TBD","70","91","4.82","562","161","3","0","35","46","10","1417.0","6261","1459","842","759","192","580","35","93","55","7","923"
"2006","BOS","86","76","4.83","616","162","3","1","46","80","23","1441.1","6292","1570","825","773","181","509","25","68","52","3","1070"
"2009","KCR","65","97","4.83","588","162","10","5","34","50","22","1426.0","6265","1486","842","765","166","600","28","51","89","6","1153"
"2006","MIL","75","87","4.83","589","162","7","5","43","59","24","1425.2","6210","1454","833","765","177","514","34","74","57","2","1145"
"2000","CLE","90","72","4.84","624","162","6","2","34","","","1442.1","6380","1511","816","775","173","666","45","42","50","3","1213"
"2009","MIL","80","82","4.84","674","162","1","0","44","89","22","1435.0","6352","1498","818","772","207","607","60","65","61","1","1104"
"2018","CHW","62","100","4.85","715","162","0","0","34","67","19","1437.0","6339","1404","848","774","196","653","25","89","94","9","1259"
"2018","TOR","73","89","4.85","752","162","0","0","39","83","20","1433.2","6265","1476","832","773","208","551","19","67","71","5","1298"
"2014","COL","66","96","4.86","709","162","1","1","24","74","26","1431.0","6248","1528","818","772","173","531","32","54","72","8","1074"
"2000","TBD","69","92","4.86","562","161","10","3","38","","","1431.1","6283","1553","842","773","198","533","33","66","57","3","955"
"2001","KCR","65","97","4.87","558","162","5","0","30","","","1440.0","6289","1537","858","779","209","576","26","61","73","2","911"
"2005","ARI","77","85","4.87","620","162","6","1","45","64","17","1456.1","6402","1580","856","788","193","537","43","62","58","5","1038"
"2003","SDP","64","98","4.87","635","162","2","0","31","60","18","1431.1","6303","1458","831","775","208","611","52","62","64","3","1091"
"2019","CHW","72","89","4.91","697","161","6","2","33","73","16","1412.2","6159","1438","832","770","238","582","30","51","71","5","1312"
"2008","DET","74","88","4.91","602","162","1","0","34","60","28","1445.0","6411","1541","857","788","172","644","63","68","65","7","991"
"2002","CLE","74","88","4.91","583","162","9","2","34","51","19","1424.2","6271","1508","837","777","142","603","38","57","52","8","1058"
"2016","CIN","68","94","4.91","646","162","2","1","28","57","25","1442.0","6348","1457","854","787","258","636","31","78","61","12","1241"
"2004","CHW","83","79","4.91","561","162","8","2","34","57","12","1432.1","6189","1505","831","782","224","527","36","48","43","3","1013"
"2016","COL","75","87","4.92","695","162","2","2","37","73","28","1429.1","6289","1532","860","781","181","547","38","70","72","5","1223"
"2011","BAL","69","93","4.92","640","162","3","1","32","59","19","1446.2","6332","1568","860","791","210","535","42","45","32","4","1044"
"2018","TEX","67","95","4.92","668","162","1","0","42","90","14","1431.0","6231","1516","848","783","222","491","23","72","57","8","1121"
"2004","DET","72","90","4.93","594","162","7","4","35","58","28","1439.2","6296","1542","844","788","190","530","33","54","71","6","995"
"2004","TOR","67","94","4.93","592","161","6","4","37","47","16","1421.0","6281","1505","823","778","181","608","47","58","60","11","956"
"2003","TBD","63","99","4.93","534","162","7","3","30","56","25","1436.2","6340","1454","852","787","196","639","37","95","65","9","877"
"2002","DET","55","106","4.94","533","161","11","4","33","32","21","1414.0","6215","1593","864","776","163","463","34","62","59","8","794"
"2007","PIT","68","94","4.94","657","162","4","2","32","68","19","1447.2","6374","1627","846","795","174","518","55","76","45","3","997"
"2000","PIT","69","93","4.94","628","162","5","2","27","","","1449.0","6514","1554","888","796","163","711","61","60","67","6","1070"
"2018","KCR","58","104","4.95","645","162","2","0","33","52","24","1432.0","6284","1542","833","787","205","549","28","51","68","4","1157"
"2007","CIN","72","90","4.95","684","162","6","2","34","59","28","1449.2","6354","1605","853","798","198","482","47","73","54","5","1068"
"2007","FLA","71","91","4.96","722","162","0","0","40","106","24","1443.2","6544","1617","891","795","176","661","60","76","67","9","1142"
"2001","TBD","62","100","4.96","532","162","1","1","30","","","1423.2","6288","1513","887","784","207","569","21","75","75","7","1030"
"2006","TBD","61","101","4.97","606","162","3","2","33","47","21","1420.1","6374","1600","856","784","180","606","39","63","70","8","979"
"2005","TEX","79","83","4.97","616","162","2","1","46","48","22","1440.0","6371","1589","858","795","159","522","31","60","44","4","932"
"2017","BAL","75","87","4.97","654","162","1","1","35","58","17","1441.0","6293","1505","841","796","242","579","21","60","53","6","1233"
"2010","KCR","67","95","4.97","603","162","7","1","44","64","21","1436.2","6333","1553","845","794","176","551","28","47","55","7","1035"
"2004","ARI","51","111","4.98","633","162","5","2","33","55","22","1436.0","6418","1480","899","795","197","668","79","75","71","8","1153"
"2019","SEA","68","94","5.00","700","162","3","2","34","66","29","1439.1","6268","1484","893","799","260","505","25","51","75","4","1239"
"2010","PIT","57","105","5.00","679","162","1","1","31","67","17","1411.2","6300","1567","866","785","167","538","40","66","56","10","1026"
"2001","DET","66","96","5.01","553","162","16","1","34","","","1429.1","6361","1624","876","795","180","553","56","73","40","4","859"
"2017","NYM","70","92","5.01","730","162","2","0","34","73","20","1434.2","6378","1538","863","799","220","593","51","55","55","5","1374"
"2000","ANA","82","80","5.02","603","162","5","2","46","","","1448.0","6401","1534","869","807","228","662","44","36","47","10","846"
"2009","WSN","59","103","5.02","694","162","6","1","33","62","25","1424.1","6349","1533","874","794","173","629","59","48","74","5","911"
"2003","MIL","68","94","5.03","622","162","5","1","44","59","27","1452.0","6459","1590","873","811","219","575","43","61","57","8","1034"
"2006","WSN","71","91","5.03","679","162","1","1","32","62","23","1436.1","6424","1535","872","803","193","584","93","92","47","10","960"
"2015","COL","68","94","5.04","746","162","4","1","36","99","25","1426.1","6308","1579","844","799","183","579","42","48","66","6","1112"
"2001","PIT","62","100","5.05","572","162","8","2","36","","","1416.1","6222","1493","858","794","167","549","74","80","49","4","908"
"2003","KCR","83","79","5.07","570","162","7","3","36","62","28","1438.2","6366","1569","867","810","190","566","33","66","60","9","865"
"2009","CLE","65","97","5.07","607","162","5","2","25","49","18","1434.0","6354","1570","865","808","183","598","31","45","49","7","986"
"2019","TEX","78","84","5.09","661","162","4","1","33","58","14","1438.0","6354","1515","878","813","241","583","11","70","68","3","1379"
"2016","MIN","59","103","5.09","695","162","4","1","26","46","20","1443.0","6314","1617","889","816","221","479","26","41","83","7","1191"
"2003","CIN","69","93","5.09","637","162","4","1","38","60","26","1446.1","6423","1578","886","818","209","590","61","48","46","3","932"
"2016","ARI","69","93","5.09","737","162","2","2","31","69","22","1451.1","6437","1563","890","821","202","603","57","57","69","7","1318"
"2008","PIT","67","95","5.10","659","162","3","2","34","65","22","1455.0","6528","1631","884","824","176","657","31","49","64","9","963"
"2019","LAA","72","90","5.12","751","162","0","0","32","72","14","1442.2","6289","1417","868","820","267","576","11","82","98","9","1404"
"2005","COL","67","95","5.14","621","162","4","1","37","68","26","1418.2","6385","1600","862","810","175","604","54","84","65","6","981"
"2000","MON","67","95","5.14","614","162","4","2","39","","","1424.2","6340","1575","902","814","181","579","40","60","55","7","1011"
"2008","BAL","68","93","5.15","653","161","4","1","35","56","24","1422.0","6414","1538","869","814","184","687","44","80","72","7","922"
"2000","MIN","69","93","5.16","574","162","6","2","35","","","1432.2","6336","1634","880","821","212","516","12","35","68","4","1042"
"2002","TEX","72","90","5.16","649","162","4","2","33","65","33","1439.2","6446","1528","882","826","194","669","32","76","84","11","1030"
"2004","KCR","58","104","5.16","571","162","6","2","25","48","22","1420.1","6320","1638","905","815","208","518","49","56","60","10","887"
"2009","BAL","64","98","5.16","646","162","2","0","31","61","22","1429.0","6359","1633","876","820","218","546","45","51","31","7","933"
"2017","CIN","68","94","5.17","666","162","2","1","33","57","14","1430.0","6286","1442","869","821","248","631","37","77","62","7","1300"
"2000","TOR","83","79","5.17","550","162","15","3","37","","","1437.1","6377","1615","908","826","195","560","19","64","37","3","978"
"2005","CIN","73","89","5.18","654","163","2","0","31","63","16","1433.0","6397","1657","889","824","219","492","47","80","53","3","955"
"2007","BAL","69","93","5.19","652","162","4","1","30","78","25","1438.2","6418","1491","868","829","161","696","37","72","55","8","1087"
"2019","PIT","69","93","5.19","712","162","1","0","31","57","24","1440.0","6391","1511","911","830","241","584","22","85","50","4","1443"
"2018","BAL","47","115","5.19","652","162","2","0","28","54","18","1431.0","6340","1552","892","825","234","589","29","67","81","8","1203"
"2019","KCR","59","103","5.20","682","162","1","1","37","61","23","1425.0","6307","1525","869","824","221","582","25","81","59","5","1230"
"2002","KCR","62","100","5.21","583","162","12","4","30","40","24","1441.0","6386","1587","891","834","212","572","48","52","68","6","909"
"2002","COL","73","89","5.21","668","162","1","0","43","78","16","1426.2","6345","1554","898","826","225","582","49","64","42","6","920"
"2004","CIN","76","86","5.21","659","162","5","2","47","80","30","1443.2","6451","1595","907","836","236","572","55","54","74","3","992"
"2012","COL","64","98","5.22","737","162","0","0","36","73","27","1422.0","6384","1637","890","824","198","566","61","47","94","6","1144"
"2003","COL","74","88","5.24","662","162","3","0","34","76","20","1420.0","6364","1629","892","826","200","552","51","84","48","8","866"
"2019","DET","47","114","5.26","738","161","0","0","31","65","25","1433.0","6341","1555","915","837","250","536","24","69","66","7","1368"
"2000","CHC","65","97","5.26","583","162","10","1","39","","","1454.2","6451","1505","904","850","231","658","45","62","45","4","1143"
"2000","COL","82","80","5.29","641","162","7","1","33","","","1430.0","6340","1568","897","840","221","588","72","72","40","5","1001"
"2002","TBD","55","106","5.29","467","161","12","1","25","24","21","1440.1","6424","1567","918","847","215","620","24","94","62","10","925"
"2001","COL","73","89","5.29","636","162","8","4","26","","","1430.0","6306","1522","906","841","239","598","71","64","38","1","1058"
"2003","DET","43","119","5.32","613","162","3","0","27","44","19","1438.2","6376","1616","928","850","195","557","35","56","52","5","764"
"2006","BAL","70","92","5.35","634","162","5","1","35","58","21","1419.0","6327","1579","899","844","216","613","26","48","59","4","1016"
"2017","DET","64","98","5.36","672","162","2","1","32","75","23","1420.1","6298","1587","894","846","218","538","42","61","53","4","1202"
"2008","TEX","79","83","5.37","619","162","6","2","36","73","28","1442.0","6506","1647","967","860","176","625","44","72","62","9","963"
"2000","BAL","74","88","5.37","558","162","14","2","33","","","1433.1","6433","1547","913","855","202","665","32","36","51","1","1017"
"2005","TBD","67","95","5.40","563","162","1","0","43","66","26","1421.2","6384","1570","936","853","194","615","41","64","53","5","949"
"2000","HOU","72","90","5.42","572","162","8","1","30","","","1437.2","6455","1596","944","865","234","598","25","60","55","3","1064"
"2000","KCR","77","85","5.48","491","162","10","3","29","","","1439.1","6443","1585","930","877","239","693","35","42","77","5","927"
"2000","TEX","71","91","5.52","577","162","3","0","39","","","1429.0","6559","1683","974","876","202","661","40","63","40","6","918"
"2007","TBD","66","96","5.53","645","162","2","1","28","58","21","1429.2","6403","1649","944","879","199","568","31","63","55","2","1194"
"2004","COL","68","94","5.54","635","162","3","0","36","67","34","1435.1","6535","1634","923","883","198","697","84","71","66","6","947"
"2005","KCR","56","106","5.56","605","162","4","0","25","55","18","1413.1","6370","1640","935","873","178","580","33","74","69","9","924"
"2019","COL","71","91","5.58","752","162","1","1","28","62","23","1448.2","6423","1576","958","898","270","589","33","57","63","7","1264"
"2019","BAL","54","108","5.67","695","162","0","0","27","57","27","1443.0","6396","1544","981","909","305","561","11","80","75","6","1248"
"2006","KCR","62","100","5.67","635","162","3","2","35","66","31","1426.1","6434","1648","971","899","213","637","45","60","85","9","904"
"2003","TEX","71","91","5.69","656","162","4","2","43","74","20","1433.1","6413","1625","969","906","208","603","45","63","51","8","1009"
"2001","TEX","73","89","5.71","572","162","4","1","37","","","1438.1","6469","1670","968","913","222","596","33","63","70","9","951"
