"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2002","ANA","2307","6327","152","851","811","117","7.3%","12.7%",".150",".303",".282",".341",".433",".336","","105","12.5","49.4","16.5","28.2"
"2006","NYM","2279","6291","200","834","800","146","8.7%","17.0%",".181",".293",".264",".334",".445",".334","","99","20.5","13.8","66.4","28.1"
"2001","OAK","1830","6385","199","884","835","68","10.0%","16.0%",".175",".288",".264",".345",".439",".338","","108","0.6","64.5","0.4","28.0"
"2004","LAD","2357","6244","203","761","731","102","8.6%","17.5%",".161",".291",".262",".332",".423",".327","","97","1.7","-19.9","96.8","28.0"
"2018","MIL","2496","6210","218","754","711","124","8.6%","23.5%",".172",".302",".252",".323",".424",".322","","100","8.2","7.7","68.3","27.9"
"2017","MIA","2399","6248","194","778","743","91","7.8%","20.5%",".163",".313",".267",".331",".431",".325","","101","1.4","9.0","65.7","27.9"
"2010","MIN","2290","6257","142","781","749","68","8.9%","15.5%",".148",".306",".273",".341",".422",".335","","106","-15.8","29.5","17.9","27.8"
"2007","NYM","2335","6344","177","804","761","200","8.7%","15.5%",".157",".303",".275",".342",".432",".336","","100","14.2","17.4","57.5","27.7"
"2011","TBR","2284","6152","172","707","674","155","9.3%","19.4%",".159",".281",".244",".322",".402",".319","","103","10.4","35.1","23.1","27.7"
"2013","DET","2274","6388","176","796","767","35","8.3%","16.8%",".151",".320",".283",".346",".434",".341","","114","-19.0","83.7","-35.3","27.6"
"2005","BOS","2344","6403","199","910","863","45","10.2%","16.3%",".174",".310",".281",".357",".454",".352","","112","-2.9","92.8","-33.9","27.6"
"2019","BOS","2455","6475","245","901","857","68","9.1%","21.3%",".197",".313",".269",".340",".466",".338","","106","-7.0","44.2","10.9","27.6"
"2004","SFG","2405","6466","183","850","805","43","10.9%","13.5%",".168",".290",".270",".357",".438",".340","","105","-6.0","35.7","28.4","27.5"
"2009","LAD","2352","6385","145","780","739","116","9.5%","16.7%",".141",".309",".270",".346",".412",".332","","102","4.0","18.7","55.4","27.4"
"2014","BAL","2294","6130","211","705","681","44","6.5%","21.0%",".166",".296",".256",".311",".422",".323","","104","-6.2","21.9","34.4","27.4"
"2012","ATL","2264","6126","149","700","660","101","9.3%","21.0%",".142",".296",".247",".320",".389",".310","","92","7.2","-48.9","123.8","27.3"
"2007","ATL","2398","6374","176","810","781","64","8.4%","18.0%",".160",".314",".275",".339",".435",".337","","99","-6.2","-12.5","80.4","27.2"
"2000","CLE","1930","6512","221","950","889","113","10.5%","16.2%",".182",".318",".288",".367",".470",".364","","109","7.8","89.1","-29.4","27.1"
"2005","STL","2324","6246","170","805","757","83","8.5%","15.2%",".153",".297",".270",".339",".423",".331","","100","9.0","12.4","54.6","27.1"
"2013","SFG","2396","6168","107","629","596","67","7.6%","17.5%",".121",".304",".260",".320",".381",".309","","100","-4.1","-1.7","66.3","26.9"
"2017","CHC","2420","6283","223","822","785","62","9.9%","22.3%",".182",".302",".255",".338",".437",".331","","101","-6.8","4.8","57.6","26.8"
"2004","CLE","2287","6452","184","858","820","94","9.4%","15.6%",".168",".305",".276",".351",".444",".345","","109","-4.7","72.7","-18.2","26.8"
"2017","CLE","2367","6234","212","818","780","88","9.7%","18.5%",".186",".295",".263",".339",".449",".336","","105","11.1","48.8","6.8","26.7"
"2004","PHI","2317","6456","215","840","802","100","10.0%","17.5%",".176",".297",".267",".345",".443",".340","","100","5.5","5.8","50.4","26.7"
"2019","ATL","2411","6302","249","855","824","89","9.8%","23.3%",".195",".305",".258",".336",".452",".332","","102","11.0","23.7","46.2","26.6"
"2001","COL","2179","6394","213","923","874","132","8.0%","16.1%",".191",".322",".292",".354",".483",".357","","95","2.6","-41.9","102.6","26.5"
"2003","NYY","2180","6431","230","877","845","98","10.6%","16.2%",".182",".295",".271",".356",".453",".351","","115","-0.3","119.4","-72.0","26.5"
"2003","PHI","2227","6333","166","791","757","72","10.3%","18.2%",".158",".301",".261",".343",".419",".332","","100","1.2","1.3","59.1","26.4"
"2003","HOU","2390","6320","191","805","763","66","8.8%","16.2%",".169",".289",".263",".336",".431",".333","","97","10.9","-15.9","76.6","26.4"
"2018","HOU","2348","6146","205","797","763","71","9.2%","19.5%",".170",".289",".255",".329",".425",".327","","110","-7.0","64.6","-11.5","26.3"
"2019","WSN","2327","6267","231","873","824","116","9.3%","20.9%",".190",".306",".265",".342",".454",".336","","104","3.7","32.4","35.8","26.3"
"2017","STL","2416","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".326","","101","2.0","8.4","51.4","26.3"
"2014","WSN","2265","6216","152","686","635","101","8.3%","21.0%",".140",".303",".253",".321",".393",".317","","99","15.3","8.4","42.4","26.2"
"2006","SDP","2396","6287","161","731","698","123","9.0%","17.6%",".154",".299",".263",".332",".416",".325","","99","5.2","-5.0","65.1","26.1"
"2013","STL","2341","6202","125","783","745","45","7.8%","17.9%",".133",".314",".269",".332",".401",".322","","104","-9.1","21.0","35.0","26.1"
"2015","HOU","2333","6073","230","729","691","121","8.0%","22.9%",".187",".292",".250",".315",".437",".325","","108","8.1","66.8","-19.6","26.1"
"2001","ARI","2180","6349","208","818","776","71","9.2%","16.6%",".175",".294",".267",".341",".442",".336","","97","-2.6","-31.4","88.6","26.0"
"2017","MIN","2324","6261","206","815","781","95","9.5%","21.4%",".174",".306",".260",".334",".434",".329","","103","14.4","39.7","7.2","26.0"
"2000","CHW","1791","6410","216","978","926","119","9.2%","15.0%",".184",".309",".286",".356",".470",".357","","106","5.3","58.5","-9.6","25.9"
"2016","SFG","2404","6271","130","715","675","79","9.1%","17.7%",".140",".299",".258",".329",".398",".315","","96","-2.8","-34.8","92.8","25.9"
"2004","SDP","2316","6313","139","768","722","52","9.0%","14.4%",".141",".301",".273",".342",".414",".329","","103","8.1","30.5","22.3","25.9"
"2006","PHI","2410","6509","216","865","823","92","9.6%","18.5%",".180",".302",".267",".347",".447",".341","","100","18.5","15.5","34.6","25.9"
"2010","SFG","2354","6143","162","697","660","55","7.9%","17.9%",".151",".293",".257",".321",".408",".320","","98","-18.3","-31.6","95.2","25.8"
"2018","STL","2464","6200","205","759","725","63","8.5%","22.3%",".160",".294",".249",".321",".409",".316","","99","12.9","7.9","47.1","25.7"
"2018","ATL","2377","6251","175","759","717","90","8.2%","20.6%",".161",".302",".257",".324",".417",".319","","97","12.6","-13.5","66.8","25.7"
"2002","MIN","2289","6196","167","768","731","79","7.6%","17.6%",".165",".309",".272",".332",".437",".334","","101","-5.6","1.1","45.0","25.7"
"2013","BAL","2246","6144","212","745","719","79","6.8%","18.3%",".171",".288",".260",".313",".431",".323","","101","13.8","16.4","22.7","25.7"
"2013","ATL","2293","6133","181","688","656","64","8.8%","22.6%",".153",".300",".249",".321",".402",".318","","102","-5.7","3.8","50.1","25.6"
"2016","LAD","2491","6164","189","725","680","45","8.5%","21.4%",".160",".294",".249",".319",".409",".314","","97","2.0","-20.1","77.9","25.5"
"2018","CHC","2490","6369","167","761","722","66","9.0%","21.8%",".152",".313",".258",".333",".410",".321","","100","2.2","3.4","44.0","25.5"
"2013","LAD","2336","6145","138","649","618","78","7.7%","18.6%",".133",".308",".264",".326",".396",".317","","103","-8.0","14.7","37.2","25.5"
"2006","TOR","2329","6241","199","809","778","65","8.2%","14.5%",".179",".306",".284",".348",".463",".349","","107","-15.0","43.6","3.4","25.4"
"2015","CHC","2406","6200","171","689","657","95","9.1%","24.5%",".154",".305",".244",".321",".398",".313","","96","15.1","-15.8","63.6","25.4"
"2014","SFG","2353","6087","132","665","636","56","7.0%","20.5%",".133",".304",".255",".311",".388",".308","","99","0.5","-5.1","52.8","25.4"
"2013","OAK","2313","6209","186","767","725","74","9.2%","19.0%",".165",".289",".254",".327",".419",".327","","108","10.0","66.2","-32.4","25.4"
"2004","CHC","2290","6281","235","789","755","66","7.8%","17.2%",".190",".292",".268",".328",".458",".336","","98","-12.0","-26.2","74.9","25.4"
"2019","CHC","2429","6195","256","814","783","45","9.4%","23.6%",".200",".297",".252",".331",".452",".330","","102","-2.2","15.0","45.0","25.3"
"2007","MIL","2330","6238","231","801","774","96","8.0%","18.2%",".194",".289",".262",".329",".456",".337","","100","7.4","7.7","44.1","25.1"
"2016","TOR","2349","6233","221","759","728","54","10.1%","21.9%",".178",".289",".248",".330",".426",".327","","104","-9.0","21.9","8.8","25.1"
"2010","STL","2347","6241","150","736","689","79","8.7%","16.5%",".139",".296",".263",".332",".402",".322","","99","1.8","-6.8","59.6","25.0"
"2010","BOS","2327","6356","211","818","782","68","9.2%","17.9%",".183",".299",".268",".339",".451",".345","","109","-7.2","59.7","-43.4","24.9"
"2016","CLE","2366","6155","185","777","733","134","8.6%","20.2%",".168",".304",".262",".329",".430",".326","","100","15.8","14.1","16.8","24.9"
"2014","DET","2330","6202","155","757","731","106","7.1%","18.4%",".150",".319",".277",".331",".426",".331","","112","-7.3","73.0","-41.9","24.8"
"2004","BOS","2417","6515","222","949","912","68","10.1%","18.3%",".190",".319",".282",".360",".472",".358","","114","-17.1","97.9","-66.6","24.7"
"2019","MIL","2514","6309","250","769","744","101","10.0%","24.8%",".192",".296",".246",".329",".438",".324","","98","5.9","-14.8","64.6","24.7"
"2009","MIL","2321","6296","182","785","757","68","9.7%","19.6%",".164",".305",".263",".341",".426",".336","","103","-9.6","10.2","38.9","24.6"
"2004","HOU","2391","6269","187","803","756","89","9.4%","15.9%",".170",".293",".267",".342",".436",".336","","98","10.0","-7.1","48.7","24.6"
"2008","MIL","2227","6252","198","750","722","108","8.8%","19.2%",".179",".287",".253",".325",".431",".329","","97","8.9","-11.7","58.8","24.6"
"2015","NYM","2325","6145","177","683","654","51","7.9%","21.0%",".156",".287",".244",".312",".400",".309","","98","6.2","-6.8","48.7","24.6"
"2000","ATL","2039","6275","179","810","758","148","9.5%","16.1%",".157",".302",".271",".346",".429",".339","","96","4.6","-33.9","83.2","24.5"
"2008","ATL","2407","6368","130","753","721","58","9.7%","16.1%",".138",".309",".270",".345",".408",".332","","99","-5.8","-12.5","54.2","24.5"
"2017","WSN","2322","6214","215","819","796","108","8.7%","21.4%",".183",".311",".266",".332",".449",".331","","99","11.9","2.4","38.7","24.4"
"2009","BOS","2317","6344","212","872","822","126","10.4%","17.7%",".184",".301",".270",".352",".454",".351","","106","-7.7","40.7","-19.8","24.4"
"2000","CIN","2313","6373","200","825","794","100","8.8%","15.6%",".173",".299",".274",".343",".447",".341","","94","3.3","-46.5","89.9","24.3"
"2006","NYY","2430","6455","210","930","902","139","10.1%","16.3%",".177",".315",".285",".363",".461",".356","","113","7.4","118.9","-91.9","24.2"
"2009","STL","2358","6168","160","730","694","75","8.6%","16.9%",".152",".296",".263",".332",".415",".325","","98","13.4","-1.6","50.0","24.2"
"2002","BOS","2172","6332","177","859","810","80","8.6%","14.9%",".168",".302",".277",".345",".444",".343","","107","-0.4","54.5","-28.8","24.2"
"2018","WSN","2441","6288","191","771","737","119","10.0%","20.5%",".164",".297",".254",".335",".419",".325","","101","8.4","14.5","22.2","24.1"
"2015","PIT","2431","6285","140","697","661","98","7.3%","21.0%",".136",".314",".260",".323",".396",".313","","97","3.5","-17.4","49.6","24.0"
"2008","CLE","2199","6299","171","805","772","77","8.9%","19.3%",".162",".305",".262",".339",".424",".334","","103","0.7","24.6","-2.8","24.0"
"2003","MIN","2269","6324","155","801","755","94","8.1%","16.2%",".154",".312",".277",".341",".431",".335","","102","1.8","19.8","5.4","24.0"
"2012","CIN","2211","6115","172","669","636","87","7.9%","20.7%",".159",".296",".251",".315",".411",".314","","93","13.5","-36.0","78.9","23.9"
"2002","PHI","2260","6323","165","710","676","104","10.1%","17.3%",".163",".294",".259",".339",".422",".331","","101","1.1","5.4","27.8","23.9"
"2011","LAA","2187","6088","155","667","629","135","7.3%","17.8%",".149",".288",".253",".313",".402",".313","","98","-3.8","-14.6","38.0","23.8"
"2010","TOR","2206","6072","257","755","732","58","7.8%","19.2%",".206",".269",".248",".312",".454",".334","","105","-12.3","25.1","-9.9","23.7"
"2002","LAD","2302","6146","155","713","693","96","7.0%","15.3%",".146",".291",".264",".320",".409",".317","","96","-3.5","-36.0","73.4","23.7"
"2012","TBR","2406","6105","175","697","665","134","9.4%","21.7%",".155",".284",".240",".317",".394",".311","","100","-0.7","-1.0","20.8","23.7"
"2001","CLE","1901","6357","212","897","868","79","9.1%","16.9%",".179",".308",".278",".350",".458",".347","","112","-2.4","90.7","-67.4","23.7"
"2012","WSN","2338","6221","194","731","688","105","7.7%","21.3%",".166",".308",".261",".322",".428",".324","","101","-4.1","4.7","33.0","23.7"
"2000","LAD","2057","6312","211","798","756","95","10.6%","17.2%",".174",".283",".257",".341",".431",".337","","99","0.5","-4.5","46.3","23.7"
"2006","ATL","2435","6284","222","849","818","52","8.4%","18.6%",".184",".304",".270",".337",".455",".339","","100","-13.4","-13.1","48.1","23.7"
"2016","HOU","2334","6204","198","724","689","102","8.9%","23.4%",".170",".298",".247",".319",".417",".317","","101","-5.4","2.8","14.6","23.7"
"2010","ATL","2376","6252","139","738","699","63","10.1%","18.2%",".143",".301",".258",".339",".401",".327","","100","-2.1","-2.9","41.9","23.6"
"2018","TBR","2371","6195","150","716","664","128","8.7%","22.4%",".148",".317",".258",".333",".406",".322","","107","-0.3","48.7","-23.7","23.6"
"2010","SDP","2352","6148","132","665","630","124","8.8%","19.2%",".125",".290",".246",".317",".371",".304","","92","9.3","-50.2","91.9","23.6"
"2015","STL","2406","6139","137","647","619","69","8.2%","20.6%",".142",".303",".253",".321",".394",".311","","97","0.9","-21.2","53.8","23.6"
"2001","HOU","2121","6325","208","847","805","64","9.2%","17.7%",".180",".304",".271",".347",".451",".343","","101","-8.8","-1.9","36.1","23.6"
"2010","DET","2274","6312","152","751","717","69","8.7%","18.2%",".147",".311",".268",".335",".415",".330","","102","9.7","23.9","-18.7","23.6"
"2000","NYM","2345","6328","198","807","761","66","10.7%","16.4%",".167",".290",".263",".346",".430",".339","","99","-7.2","-16.2","55.3","23.5"
"2008","TEX","2281","6478","194","901","867","81","9.2%","18.6%",".179",".325",".283",".354",".462",".355","","112","11.1","108.1","-97.3","23.5"
"2004","ANA","2217","6296","162","836","783","143","7.1%","15.0%",".147",".312",".282",".341",".429",".334","","103","2.2","23.8","1.4","23.4"
"2016","NYM","2430","6115","218","671","649","42","8.5%","21.3%",".171",".282",".246",".316",".417",".315","","99","-8.6","-17.7","55.9","23.4"
"2003","FLA","2190","6186","157","751","709","150","8.3%","15.8%",".155",".296",".266",".333",".421",".327","","99","2.8","-7.6","41.8","23.4"
"2012","TEX","2236","6216","200","808","780","91","7.7%","17.7%",".173",".306",".273",".334",".446",".336","","106","-5.8","39.5","-27.3","23.3"
"2008","HOU","2312","6051","167","712","684","114","7.4%","17.4%",".152",".296",".263",".323",".415",".322","","93","0.4","-49.2","89.3","23.3"
"2019","TBR","2459","6285","217","769","730","94","8.6%","23.8%",".178",".306",".254",".325",".431",".321","","103","8.4","30.8","-13.0","23.3"
"2006","STL","2359","6225","184","781","745","59","8.5%","14.8%",".163",".292",".269",".337",".431",".331","","98","5.9","-13.3","46.0","23.3"
"2004","CHW","2245","6197","242","865","823","78","8.1%","16.6%",".189",".288",".268",".333",".457",".340","","101","-1.6","7.3","19.4","23.2"
"2005","CIN","2309","6321","222","820","784","72","9.7%","20.6%",".185",".302",".261",".339",".446",".340","","103","12.9","35.6","-10.3","23.2"
"2019","NYM","2445","6290","242","791","767","56","8.2%","22.0%",".185",".299",".257",".328",".442",".325","","104","-17.0","13.3","21.3","23.1"
"2010","PHI","2277","6291","166","772","736","108","8.9%","16.9%",".153",".292",".260",".332",".413",".327","","99","13.3","5.5","27.4","23.1"
"2011","DET","2309","6231","169","787","750","49","8.4%","18.3%",".157",".318",".277",".340",".434",".337","","109","-15.2","48.5","-36.5","23.1"
"2007","COL","2407","6498","171","860","823","100","9.6%","17.7%",".158",".322",".280",".354",".437",".346","","97","10.1","-19.4","41.6","23.1"
"2002","OAK","2312","6291","205","800","772","46","9.7%","16.0%",".171",".284",".261",".339",".432",".337","","106","10.1","59.2","-42.7","23.1"
"2018","LAA","2467","6108","214","721","690","89","8.4%","21.3%",".171",".277",".242",".313",".413",".313","","98","2.8","-13.8","36.7","23.1"
"2005","OAK","2164","6275","155","772","739","31","8.6%","13.1%",".145",".281",".262",".330",".407",".323","","99","12.0","3.9","13.7","23.0"
"2001","CHW","1906","6151","214","798","770","123","8.5%","16.2%",".183",".290",".268",".334",".451",".337","","104","-1.3","28.4","-7.1","23.0"
"2000","HOU","2303","6444","249","938","900","114","10.4%","17.5%",".199",".305",".278",".361",".477",".361","","105","-0.3","45.4","-10.9","23.0"
"2001","PHI","2083","6219","164","746","708","153","8.9%","18.1%",".154",".297",".260",".329",".414",".321","","92","9.9","-52.1","81.8","22.9"
"2019","ARI","2418","6315","220","813","778","88","8.6%","21.5%",".182",".293",".252",".323",".434",".319","","93","18.3","-37.5","68.5","22.9"
"2013","PIT","2369","6135","161","634","603","94","7.6%","21.7%",".151",".294",".245",".313",".396",".312","","99","1.8","-3.4","30.8","22.8"
"2000","OAK","2066","6432","239","947","908","40","11.7%","18.0%",".188",".300",".270",".360",".458",".356","","109","1.9","80.7","-62.9","22.8"
"2006","MIN","2226","6228","143","801","754","101","7.9%","14.0%",".138",".316",".287",".347",".425",".334","","101","-1.4","5.9","13.5","22.7"
"2017","NYM","2396","6169","224","735","713","58","8.6%","20.9%",".184",".286",".250",".320",".434",".322","","101","-11.3","-7.2","32.1","22.7"
"2013","MIL","2335","6064","157","640","610","142","6.7%","19.5%",".145",".294",".252",".311",".398",".311","","91","-6.9","-66.0","94.0","22.6"
"2013","CLE","2337","6165","171","745","711","117","9.1%","20.8%",".155",".300",".255",".327",".410",".324","","104","11.5","39.3","-29.5","22.6"
"2002","CHW","2208","6208","217","856","819","75","8.9%","15.3%",".181",".287",".268",".338",".449",".342","","105","-1.2","40.1","-26.9","22.5"
"2003","CHW","2277","6148","220","791","766","77","8.4%","14.9%",".182",".279",".263",".331",".446",".336","","101","-5.1","3.1","12.9","22.5"
"2013","CIN","2286","6293","155","698","664","67","9.3%","19.8%",".142",".293",".249",".327",".391",".316","","96","-2.0","-32.9","52.4","22.5"
"2001","TEX","1897","6388","246","890","844","97","8.6%","17.1%",".195",".300",".275",".344",".471",".349","","108","5.2","70.8","-61.8","22.4"
"2009","MIN","2315","6346","172","817","770","85","9.2%","16.1%",".155",".306",".274",".345",".429",".338","","104","15.3","42.9","-41.4","22.4"
"2003","SDP","2384","6246","128","678","641","76","9.0%","17.2%",".127",".301",".261",".333",".388",".318","","95","2.0","-38.3","60.8","22.4"
"2019","STL","2413","6167","210","764","714","116","9.1%","23.0%",".170",".292",".245",".322",".415",".314","","94","14.4","-31.5","61.4","22.3"
"2016","WSN","2302","6201","203","763","735","121","8.6%","20.2%",".170",".293",".256",".326",".426",".322","","96","16.0","-16.4","41.2","22.3"
"2009","ATL","2335","6335","149","735","700","58","9.5%","16.8%",".142",".300",".263",".339",".405",".327","","97","-20.2","-44.2","67.6","22.2"
"2014","TOR","2397","6167","177","723","690","78","8.1%","18.7%",".155",".295",".259",".323",".414",".325","","107","0.0","44.9","-37.0","22.2"
"2002","ARI","2331","6318","165","819","783","92","10.2%","16.1%",".156",".298",".267",".346",".423",".335","","97","1.8","-21.0","36.6","22.1"
"2004","BAL","2278","6431","169","842","803","101","8.2%","14.8%",".150",".309",".281",".345",".432",".337","","103","6.4","31.9","-25.2","22.0"
"2016","STL","2400","6223","225","779","745","35","8.5%","21.2%",".187",".294",".255",".325",".443",".329","","105","-17.1","18.9","2.8","22.0"
"2002","TEX","2389","6332","230","843","806","62","8.7%","16.7%",".187",".292",".269",".338",".455",".343","","103","3.0","26.2","-22.9","21.9"
